Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
1465	SS_220			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1466	SS_221			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1467	SS_222			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1468	SS_223			B1	5628		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1469	SS_224			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1471	SS_226			A	206	ST206 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1472	SS_227			A			Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1474	SS_229			A	10	ST10 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1475	SS_230			B2	127		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1476	SS_231			B1	155	ST155 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1477	SS_232			B1	666		Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1478	SS_233			B2	95	ST95 Cplx	Avian Wildfowl	"Dawlish, Devon, wildfowl sanctuary"	Asymptomatic carriage		This study
1548	SS_303			ST117	117	ST117 CC	Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1549	SS_304			ST117	657		Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1550	SS_305			B2			Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1551	SS_306			D			Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1552	SS_307			B1	453	ST86 Cplx	Avian Common Gull	"Exe Bridges, Exeter"	Asymptomatic carriage		This study
1554	SS_317			A	3006		Broiler chicken	Faecal	Asymptomatic carriage		This study
1555	SS_320			A	3006		Broiler chicken	Faecal	Asymptomatic carriage		This study
1556	SS_324			B2	352		Broiler chicken	Faecal	Asymptomatic carriage		This study
1557	SS_328			A	48	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1558	SS_330			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1559	SS_331			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1560	SS_332			E	57	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1561	SS_333			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1562	SS_334			B1			Broiler chicken	Faecal	Asymptomatic carriage		This study
1563	SS_335			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1564	SS_338			E	57	ST350 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1565	SS_339			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1566	SS_340			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1567	SS_343			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1568	SS_344			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1569	SS_345			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1570	SS_346			A	43	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1571	SS_347			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1572	SS_349			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1573	SS_350			A	206	ST206 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1574	SS_355			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1575	SS_356			B1	1049		Broiler chicken	Faecal	Asymptomatic carriage		This study
1576	SS_358			D	69	ST69 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1577	SS_360			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1578	SS_361			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1580	SS_364			E	2184		Broiler chicken	Faecal	Asymptomatic carriage		This study
1581	SS_367			E			Broiler chicken	Faecal	Asymptomatic carriage		This study
1582	SS_369			D	38	ST38 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1583	SS_370			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1584	SS_373			A	10	ST10 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1585	SS_374			D	69	ST69 Cplx	Broiler chicken	Faecal	Asymptomatic carriage		This study
1586	SS_375			A			Broiler chicken	Faecal	Asymptomatic carriage		This study
1587	SS_377			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1588	SS_378			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1589	SS_379			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1590	SS_380			B1	616	ST155 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1591	SS_382			B1			Broiler chicken	Lung	Infection 		This study
1592	SS_383			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1593	SS_384			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1594	SS_385			A	10	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1595	SS_386			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1596	SS_388			A	10	ST10 Cplx	Broiler chicken	Liver	Infection 		This study
1597	SS_390			D	349	ST349 Cplx	Broiler chicken	Lung	Infection 		This study
1598	SS_391			D	349	ST349 Cplx	Broiler chicken	Lung	Infection 		This study
1599	SS_392			A			Broiler chicken	Kidney	Infection 		This study
1600	SS_393			A			Broiler chicken	Kidney	Infection 		This study
1602	SS_395			A			Broiler chicken	Spleen	Infection 		This study
1603	SS_396			A	10	ST10 Cplx	Broiler chicken	Spleen	Infection 		This study
1604	SS_397			A	93	ST168 Cplx	Broiler chicken	Liver	Infection 		This study
1605	SS_399			A	93	ST168 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1606	SS_401			A	93	ST168 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1607	SS_402			A	48	ST10 Cplx	Broiler chicken	Pericarditis	Infection 		This study
1608	SS_404			B2	352		Broiler chicken	Pericarditis	Infection 		This study
1609	SS_406			ST117	117	ST117 CC	Broiler chicken	Pericarditis	Infection 		This study
