strainName	animal	pathogenicity
scaffold_LOPR010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5130AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5383AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5353AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB6296AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONL010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2570AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONM010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5329AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHD0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5162AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5356AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2921AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2569AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOOU010.fasta.vcf	cow	pathogen
scaffold_LOOT010.fasta.vcf	cow	pathogen
scaffold_ESC_JB6293AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHI0100.fasta.vcf	cow	pathogen
scaffold_JACCGP0100.fasta.vcf	cow	pathogen
scaffold_ESC_ZA3238AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5167AA_AS.result.fasta.vcf	cow	pathogen
scaffold_ESC_JB5382AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCHB0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5131AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LONX010.fasta.vcf	cow	pathogen
scaffold_LONY010.fasta.vcf	cow	pathogen
scaffold_ESC_ZA2571AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGN0100.fasta.vcf	cow	pathogen
scaffold_ESC_JB5328AA_AS.result.fasta.vcf	cow	pathogen
scaffold_LOPF010.fasta.vcf	cow	pathogen
scaffold_LOOK010.fasta.vcf	cow	pathogen
scaffold_LOPG010.fasta.vcf	cow	pathogen
scaffold_LOOJ010.fasta.vcf	cow	pathogen
scaffold_ESC_JB5163AA_AS.result.fasta.vcf	cow	pathogen
scaffold_JACCGV0100.fasta.vcf	cow	pathogen
scaffold_LONR010.fasta.vcf	cow	pathogen
