Name,animal,pathogenicity
LOPR010_fasta,0,0
ESC_JB5130AA_AS_result_fasta,0,0
ESC_JB5383AA_AS_result_fasta,0,0
ESC_JB5353AA_AS_result_fasta,0,0
ESC_JB6296AA_AS_result_fasta,0,0
LONL010_fasta,0,0
ESC_ZA2570AA_AS_result_fasta,0,0
LONM010_fasta,0,0
ESC_JB5329AA_AS_result_fasta,0,0
JACCHD0100_fasta,0,0
ESC_JB5162AA_AS_result_fasta,0,0
ESC_JB5356AA_AS_result_fasta,0,0
ESC_ZA2921AA_AS_result_fasta,0,0
ESC_ZA2569AA_AS_result_fasta,0,0
LOOU010_fasta,0,0
LOOT010_fasta,0,0
ESC_JB6293AA_AS_result_fasta,0,0
JACCHI0100_fasta,0,0
JACCGP0100_fasta,0,0
ESC_ZA3238AA_AS_result_fasta,0,0
ESC_JB5167AA_AS_result_fasta,0,0
ESC_JB5382AA_AS_result_fasta,0,0
JACCHB0100_fasta,0,0
ESC_JB5131AA_AS_result_fasta,0,0
LONX010_fasta,0,0
LONY010_fasta,0,0
ESC_ZA2571AA_AS_result_fasta,0,0
JACCGN0100_fasta,0,0
ESC_JB5328AA_AS_result_fasta,0,0
LOPF010_fasta,0,0
LOOK010_fasta,0,0
LOPG010_fasta,0,0
LOOJ010_fasta,0,0
ESC_JB5163AA_AS_result_fasta,0,0
JACCGV0100_fasta,0,0
LONR010_fasta,0,0
LONS010_fasta,0,0
ESC_JB5134AA_AS_result_fasta,0,0
LOOA010_fasta,0,0
LOPL010_fasta,0,0
LOPM010_fasta,0,0
ESC_JB6292AA_AS_result_fasta,0,0
ESC_ZA2574AA_AS_result_fasta,0,0
ESC_ZA3239AA_AS_result_fasta,0,0
ESC_JB5166AA_AS_result_fasta,0,0
ESC_JB5381AA_AS_result_fasta,0,0
ESC_JB5132AA_AS_result_fasta,0,0
ESC_ZA2990AA_AS_result_fasta,0,0
ESC_CB0957AA_AS_result_fasta,0,0
ESC_ZA3245AA_AS_result_fasta,0,0
ESC_JB5148AA_AS_result_fasta,0,0
ESC_ZA2572AA_AS_result_fasta,0,0
ESC_JB6294AA_AS_result_fasta,0,0
ESC_ZA3259AA_AS_result_fasta,0,0
ESC_ZA2408AA_AS_result_fasta,0,0
LOPA010_fasta,0,0
LOOL010_fasta,0,0
LOOM010_fasta,0,0
JACCHE0100_fasta,0,0
ESC_JB5354AA_AS_result_fasta,0,0
ESC_JB5384AA_AS_result_fasta,0,0
LONU010_fasta,0,0
LONT010_fasta,0,0
ESC_JB5151AA_AS_result_fasta,0,0
ESC_ZA2989AA_AS_result_fasta,0,0
LOOF010_fasta,0,0
LOPK010_fasta,0,0
LOOG010_fasta,0,0
LOPJ010_fasta,0,0
ESC_ZA2577AA_AS_result_fasta,0,0
ESC_JB5165AA_AS_result_fasta,0,0
JACCHH0100_fasta,0,0
JACCGQ0100_fasta,0,0
ESC_JB5133AA_AS_result_fasta,0,0
ESC_JB5380AA_AS_result_fasta,0,0
LOOX010_fasta,0,0
LOOY010_fasta,0,0
JACCGZ0100_fasta,0,0
JACCHC0100_fasta,0,0
ESC_ZA3244AA_AS_result_fasta,0,0
ESC_JB5149AA_AS_result_fasta,0,0
ESC_ZA3258AA_AS_result_fasta,0,0
ESC_JB6295AA_AS_result_fasta,0,0
ESC_ZA2573AA_AS_result_fasta,0,0
LONK010_fasta,0,0
ESC_ZA2409AA_AS_result_fasta,0,0
LONJ010_fasta,0,0
JACCGO0100_fasta,0,0
ESC_JB5355AA_AS_result_fasta,0,0
ESC_JB5150AA_AS_result_fasta,0,0
JACCGW0100_fasta,0,0
LOOR010_fasta,0,0
LOOS010_fasta,0,0
ESC_ZA2576AA_AS_result_fasta,0,0
ESC_JB5164AA_AS_result_fasta,0,0
LONQ010_fasta,0,0
LONP010_fasta,0,0
JACCHF0100_fasta,0,0
ESC_ZA2903AA_AS_result_fasta,0,0
ESC_ZA3260AA_AS_result_fasta,0,0
LOPO010_fasta,0,0
LOOB010_fasta,0,0
LOPN010_fasta,0,0
LOOC010_fasta,0,0
ESC_JB5340AA_AS_result_fasta,0,0
ESC_ZA2405AA_AS_result_fasta,0,0
ESC_JB5326AA_AS_result_fasta,0,0
ESC_ZA3254AA_AS_result_fasta,0,0
ESC_JB5145AA_AS_result_fasta,0,0
JACCGR0100_fasta,0,0
ESC_ZA2566AA_AS_result_fasta,0,0
LONZ010_fasta,0,0
ESC_ZA2898AA_AS_result_fasta,0,0
ESC_JB5395AA_AS_result_fasta,0,0
ESC_ZA3251AA_AS_result_fasta,0,0
LOOH010_fasta,0,0
