Sequence Name	Name	Type	Minimum	Maximum	Length	Direction
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	RshA repeat element core protein CDS	CDS	376378	376917	540	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	376378	376917	540	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	hypothetical protein CDS	CDS	376083	376385	303	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	376083	376385	303	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	transposase CDS	CDS	374803	376005	1203	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	374803	376005	1203	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	praC CDS	CDS	374417	374644	228	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	praC gene	gene	374417	374644	228	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	flavin reductase like domain protein CDS	CDS	373844	374413	570	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	373844	374413	570	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	nhoA CDS	CDS	372824	373669	846	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	nhoA gene	gene	372824	373669	846	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	Protein Ydde CDS	CDS	371835	372728	894	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	371835	372728	894	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narI 1 CDS	CDS	371075	371755	681	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narI 1 gene	gene	371075	371755	681	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	nitrate reductase CDS	CDS	370383	371078	696	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	370383	371078	696	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	nitrate reductase A subunit beta CDS	CDS	368839	370383	1545	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	368839	370383	1545	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narG 1 CDS	CDS	365102	368842	3741	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narG 1 gene	gene	365102	368842	3741	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narK 1 CDS	CDS	363619	365007	1389	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	narK 1 gene	gene	363619	365007	1389	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	aromatic amino acid exporter YddG CDS	CDS	362522	363346	825	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	362522	363346	825	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdnG CDS	CDS	361646	362233	588	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdnG gene	gene	361646	362233	588	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	formate dehydrogenase-N subunit alpha CDS	CDS	359186	361597	2412	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	359186	361597	2412	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdoH 1 CDS	CDS	358289	359173	885	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdoH 1 gene	gene	358289	359173	885	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdnI CDS	CDS	357643	358296	654	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	fdnI gene	gene	357643	358296	654	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	transcriptional regulator CDS	CDS	357130	357414	285	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	357130	357414	285	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	higA 1 CDS	CDS	356852	357130	279	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	higA 1 gene	gene	356852	357130	279	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	hypothetical protein CDS	CDS	356586	356756	171	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	356586	356756	171	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	adhP 2 CDS	CDS	355815	356666	852	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	adhP 2 gene	gene	355815	356666	852	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	adhP 1 CDS	CDS	355656	355808	153	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	adhP 1 gene	gene	355656	355808	153	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	NAD-dependent malic enzyme CDS	CDS	353825	355522	1698	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	353825	355522	1698	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	sra CDS	CDS	353531	353668	138	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	sra gene	gene	353531	353668	138	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	protein bdm, partial CDS	CDS	353214	353429	216	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	353214	353429	216	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	osmC CDS	CDS	352438	352869	432	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	osmC gene	gene	352438	352869	432	reverse
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	dos CDS	CDS	349849	352248	2400	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	dos gene	gene	349849	352248	2400	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	hypothetical protein CDS	CDS	347963	349282	1320	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	347963	349282	1320	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	glutamate:gamma-aminobutyrate antiporter CDS	CDS	346297	347832	1536	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gene	gene	346297	347832	1536	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	multiple promoter invertase CDS	CDS	345909	346457	549	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	345909	346457	549	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gadB CDS	CDS	344741	346141	1401	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	gadB gene	gene	344741	346141	1401	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	mannitol-specific cryptic phosphotransferase enzyme IIA component CDS	CDS	344598	345041	444	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	gene	gene	344598	345041	444	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdtG 1 CDS	CDS	344336	345307	972	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	mdtG 1 gene	gene	344336	345307	972	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	msyB CDS	CDS	343879	344253	375	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	msyB gene	gene	343879	344253	375	reverse
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	outer membrane integrity lipoprotein CDS	CDS	343651	343878	228	forward
ESC_JB6296AA_AS_NODE_2_length_347419_cov_9.234094	gene	gene	343651	343878	228	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	pqqL CDS	CDS	343369	344379	1011	forward
ESC_JB6296AA_AS_NODE_1_length_376926_cov_8.210482	pqqL gene	gene	343369	344379	1011	forward
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	mtlA 1 CDS	CDS	343182	344570	1389	reverse
ESC_JB6296AA_AS_NODE_3_length_345215_cov_9.413366	mtlA 1 gene	gene	343182	344570	1389	reverse
