"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","LOPQ010.fasta","LOPR010.fasta"
"group_100","","hypothetical protein","2","2","1","83","473","","","","233","416","324","PHNCKJFH_03389","JLKMCBGM_03589"
"gap","","Glyceraldehyde-3-phosphate dehydrogenase 1","2","2","1","87","87","","","","251","1001","626","PHNCKJFH_03443","JLKMCBGM_04217"
"pdxI_1","","Pyridoxine 4-dehydrogenase","2","2","1","87","97","","","","278","860","569","PHNCKJFH_03453","JLKMCBGM_04207"
"ompG_1","","Outer membrane porin G","2","2","1","87","152","","","","443","905","674","PHNCKJFH_03509","JLKMCBGM_01183"
"ymgD","","putative protein YmgD","2","2","1","87","303","","","","155","329","242","PHNCKJFH_03719","JLKMCBGM_04479"
"vgrG1_1","","Actin cross-linking toxin VgrG1","2","2","1","87","46","","","","734","2108","1421","PHNCKJFH_01272","JLKMCBGM_04258"
"narZ_2","","Respiratory nitrate reductase 2 alpha chain","2","2","1","71","25","","","","590","3740","2165","PHNCKJFH_03852","JLKMCBGM_00177"
"group_111","","hypothetical protein","2","2","1","87","341","","","","3869","5420","4644","PHNCKJFH_03919","JLKMCBGM_01560"
"allB_1","","Allantoinase","2","2","1","82","55","","","","170","1361","765","PHNCKJFH_04143","JLKMCBGM_00277"
"group_115","","hypothetical protein","2","2","1","82","27","","","","779","2237","1508","PHNCKJFH_04172","JLKMCBGM_00305"
"iolE_1","","D-psicose 3-epimerase","2","2","1","87","158","","","","326","788","557","PHNCKJFH_04219","JLKMCBGM_01188"
"group_120","","hypothetical protein","2","2","1","87","162","","","","503","1292","897","PHNCKJFH_04224","JLKMCBGM_01193"
"acrE","","Multidrug export protein AcrE","2","2","1","86","31","","","","902","1157","1029","PHNCKJFH_00011","JLKMCBGM_00202"
"yhdJ_3","","DNA adenine methyltransferase YhdJ","2","2","1","86","34","","","","884","884","884","PHNCKJFH_00014","JLKMCBGM_02488"
"nanK","","N-acetylmannosamine kinase","2","2","1","86","72","","","","875","875","875","PHNCKJFH_00052","JLKMCBGM_02526"
"yhcH_1","","putative protein YhcH","2","2","1","86","73","","","","464","464","464","PHNCKJFH_00053","JLKMCBGM_02527"
"yhcG","","Putative nuclease YhcG","2","2","1","86","75","","","","479","812","645","PHNCKJFH_00055","JLKMCBGM_02528"
"yhbX","","Putative transferase YhbX","2","2","1","86","121","","","","1517","1625","1571","PHNCKJFH_00096","JLKMCBGM_01361"
"group_142","","hypothetical protein","2","2","1","86","138","","","","302","311","306","PHNCKJFH_00114","JLKMCBGM_01343"
"yraH","","putative fimbrial-like protein YraH","2","2","1","86","151","","","","584","584","584","PHNCKJFH_00127","JLKMCBGM_01330"
"agaC_1","","N-acetylgalactosamine permease IIC component 1","2","2","1","86","154","","","","629","803","716","PHNCKJFH_00130","JLKMCBGM_01327"
"yhaV","","Ribonuclease toxin YhaV","2","2","1","86","165","","","","464","464","464","PHNCKJFH_00141","JLKMCBGM_04608"
"group_146","","hypothetical protein","2","2","1","86","172","","","","1103","1187","1145","PHNCKJFH_00148","JLKMCBGM_04615"
